sample,time,temp1,val1,val2,val3,
134,587.9200,24.078,+1.05906131E+01,1.05907678E+01,+2.02690000E-02,
135,592.3203,24.078,+1.05906129E+01,1.05907677E+01,+2.02690000E-02,
136,596.7205,24.078,+1.05906126E+01,1.05907694E+01,+2.04000000E-02,
137,601.1206,24.078,+1.05906122E+01,1.05907654E+01,+2.04000000E-02,
138,605.5197,24.078,+1.05906118E+01,1.05907696E+01,+2.04000000E-02,
139,609.9189,24.078,+1.05906121E+01,1.05907670E+01,+2.04000000E-02,
140,614.3181,24.078,+1.05906123E+01,1.05907659E+01,+2.04000000E-02,
141,618.7169,24.078,+1.05906118E+01,1.05907684E+01,+2.02690000E-02,
142,623.1151,24.078,+1.05906121E+01,1.05907694E+01,+2.04000000E-02,
143,627.5135,24.078,+1.05906115E+01,1.05907688E+01,+2.04000000E-02,
144,631.9122,24.078,+1.05906117E+01,1.05907681E+01,+2.02690000E-02,
145,636.3152,24.078,+1.05906125E+01,1.05907698E+01,+2.02690000E-02,
146,640.7110,24.078,+1.05906117E+01,1.05907678E+01,+2.04000000E-02,
147,645.1115,24.078,+1.05906109E+01,1.05907686E+01,+2.02690000E-02,
148,649.5126,24.078,+1.05906115E+01,1.05907684E+01,+2.02690000E-02,
149,653.9141,24.086,+1.05906108E+01,1.05907661E+01,+2.04000000E-02,
150,658.3157,24.086,+1.05906115E+01,1.05907670E+01,+2.02690000E-02,
151,662.7175,24.086,+1.05906118E+01,1.05907664E+01,+2.04000000E-02,
152,667.1189,24.086,+1.05906113E+01,1.05907667E+01,+2.02690000E-02,
153,671.5204,24.078,+1.05906116E+01,1.05907652E+01,+2.04000000E-02,
154,675.9216,24.078,+1.05906116E+01,1.05907672E+01,+2.04000000E-02,
155,680.3234,24.078,+1.05906123E+01,1.05907659E+01,+2.04000000E-02,
156,684.7266,24.078,+1.05906120E+01,1.05907669E+01,+2.04000000E-02,
157,689.1263,24.078,+1.05906124E+01,1.05907670E+01,+2.02690000E-02,
158,693.5262,24.078,+1.05906119E+01,1.05907667E+01,+2.02690000E-02,
159,697.9294,24.078,+1.05906120E+01,1.05907666E+01,+2.04000000E-02,
160,702.3307,24.078,+1.05906116E+01,1.05907685E+01,+2.02690000E-02,
161,706.7334,24.086,+1.05906120E+01,1.05907689E+01,+2.04000000E-02,
162,711.1390,24.086,+1.05906120E+01,1.05907690E+01,+2.02690000E-02,
163,715.5392,24.086,+1.05906118E+01,1.05907697E+01,+2.04000000E-02,
164,719.9419,24.086,+1.05906125E+01,1.05907714E+01,+2.02690000E-02,
165,724.3494,24.078,+1.05906125E+01,1.05907677E+01,+2.04000000E-02,
166,728.7485,24.078,+1.05906117E+01,1.05907676E+01,+2.02690000E-02,
167,733.1498,24.078,+1.05906101E+01,1.05907668E+01,+2.02690000E-02,
168,737.5500,24.078,+1.05906109E+01,1.05907672E+01,+2.02690000E-02,
169,741.9514,24.078,+1.05906115E+01,1.05907667E+01,+2.02690000E-02,
170,746.3530,24.078,+1.05906108E+01,1.05907668E+01,+2.02690000E-02,
171,750.7548,24.078,+1.05906105E+01,1.05907640E+01,+2.04000000E-02,
172,755.1566,24.078,+1.05906096E+01,1.05907642E+01,+2.02690000E-02,
173,759.5579,24.078,+1.05906106E+01,1.05907644E+01,+2.02690000E-02,
174,763.9594,24.078,+1.05906112E+01,1.05907635E+01,+2.02690000E-02,
175,768.3608,24.078,+1.05906115E+01,1.05907656E+01,+2.02690000E-02,
176,772.7616,24.078,+1.05906115E+01,1.05907662E+01,+2.02690000E-02,
177,777.1622,24.078,+1.05906120E+01,1.05907656E+01,+2.04000000E-02,
178,781.5634,24.078,+1.05906127E+01,1.05907661E+01,+2.04000000E-02,
179,785.9649,24.078,+1.05906113E+01,1.05907630E+01,+2.04000000E-02,
180,790.3665,24.078,+1.05906120E+01,1.05907647E+01,+2.04000000E-02,
181,794.7685,24.070,+1.05906123E+01,1.05907680E+01,+2.04000000E-02,
182,799.1704,24.070,+1.05906121E+01,1.05907678E+01,+2.04000000E-02,
183,803.5724,24.070,+1.05906122E+01,1.05907687E+01,+2.04000000E-02,
184,807.9754,24.070,+1.05906126E+01,1.05907689E+01,+2.04000000E-02,
185,812.3777,24.078,+1.05906125E+01,1.05907671E+01,+2.04000000E-02,
186,816.7807,24.078,+1.05906118E+01,1.05907642E+01,+2.04000000E-02,
187,821.1805,24.078,+1.05906122E+01,1.05907678E+01,+2.04000000E-02,
188,825.5820,24.078,+1.05906124E+01,1.05907660E+01,+2.02690000E-02,
189,829.9836,24.078,+1.05906120E+01,1.05907675E+01,+2.04000000E-02,
190,834.3852,24.078,+1.05906124E+01,1.05907673E+01,+2.04000000E-02,
191,838.7890,24.078,+1.05906123E+01,1.05907682E+01,+2.02690000E-02,
192,843.1881,24.078,+1.05906121E+01,1.05907670E+01,+2.04000000E-02,
193,847.5900,24.070,+1.05906125E+01,1.05907668E+01,+2.02690000E-02,
194,851.9916,24.070,+1.05906131E+01,1.05907655E+01,+2.04000000E-02,
195,856.3932,24.070,+1.05906123E+01,1.05907656E+01,+2.02690000E-02,
196,860.7945,24.070,+1.05906124E+01,1.05907647E+01,+2.04000000E-02,
197,865.1962,24.070,+1.05906118E+01,1.05907650E+01,+2.04000000E-02,
198,869.5978,24.070,+1.05906118E+01,1.05907647E+01,+2.02690000E-02,
199,873.9993,24.070,+1.05906117E+01,1.05907644E+01,+2.02690000E-02,
200,878.4014,24.070,+1.05906121E+01,1.05907667E+01,+2.02690000E-02,
201,882.8040,24.062,+1.05906122E+01,1.05907650E+01,+2.02690000E-02,
202,887.2066,24.062,+1.05906120E+01,1.05907657E+01,+2.04000000E-02,
203,891.6099,24.062,+1.05906129E+01,1.05907676E+01,+2.02690000E-02,
204,896.0128,24.062,+1.05906124E+01,1.05907649E+01,+2.02690000E-02,
205,900.4162,24.070,+1.05906126E+01,1.05907663E+01,+2.02690000E-02,
206,904.8196,24.070,+1.05906123E+01,1.05907683E+01,+2.02690000E-02,
207,909.2231,24.070,+1.05906132E+01,1.05907693E+01,+2.02690000E-02,
208,913.6329,24.070,+1.05906140E+01,1.05907688E+01,+2.02690000E-02,
209,918.0302,24.070,+1.05906135E+01,1.05907671E+01,+2.02690000E-02,
210,922.4332,24.070,+1.05906132E+01,1.05907680E+01,+2.02690000E-02,
211,926.8362,24.070,+1.05906126E+01,1.05907686E+01,+2.04000000E-02,
212,931.2388,24.070,+1.05906121E+01,1.05907674E+01,+2.02690000E-02,
213,935.6495,24.078,+1.05906123E+01,1.05907670E+01,+2.02690000E-02,
214,940.0445,24.078,+1.05906124E+01,1.05907666E+01,+2.04000000E-02,
215,944.4479,24.078,+1.05906125E+01,1.05907685E+01,+2.02690000E-02,
216,948.8512,24.078,+1.05906117E+01,1.05907644E+01,+2.02690000E-02,
217,953.2540,24.070,+1.05906114E+01,1.05907647E+01,+2.02690000E-02,
218,957.6566,24.070,+1.05906121E+01,1.05907669E+01,+2.02690000E-02,
219,962.0604,24.070,+1.05906129E+01,1.05907690E+01,+2.04000000E-02,
220,966.4621,24.070,+1.05906126E+01,1.05907663E+01,+2.04000000E-02,
221,970.8648,24.078,+1.05906129E+01,1.05907662E+01,+2.02690000E-02,
222,975.2697,24.078,+1.05906125E+01,1.05907680E+01,+2.02690000E-02,
223,979.6715,24.078,+1.05906122E+01,1.05907683E+01,+2.04000000E-02,
224,984.0740,24.078,+1.05906121E+01,1.05907684E+01,+2.04000000E-02,
225,988.4756,24.078,+1.05906119E+01,1.05907694E+01,+2.04000000E-02,
226,992.8766,24.078,+1.05906120E+01,1.05907666E+01,+2.02690000E-02,
227,997.2834,24.078,+1.05906114E+01,1.05907681E+01,+2.04000000E-02,
228,1001.6813,24.078,+1.05906124E+01,1.05907662E+01,+2.02690000E-02,
229,1006.0845,24.070,+1.05906118E+01,1.05907661E+01,+2.04000000E-02,
230,1010.4840,24.070,+1.05906124E+01,1.05907672E+01,+2.02690000E-02,
231,1014.8863,24.070,+1.05906121E+01,1.05907679E+01,+2.04000000E-02,
232,1019.2845,24.070,+1.05906123E+01,1.05907666E+01,+2.02690000E-02,
233,1023.6840,24.070,+1.05906119E+01,1.05907626E+01,+2.02690000E-02,
234,1028.0841,24.070,+1.05906120E+01,1.05907657E+01,+2.02690000E-02,
235,1032.4847,24.070,+1.05906115E+01,1.05907658E+01,+2.02690000E-02,
236,1036.8856,24.070,+1.05906129E+01,1.05907657E+01,+2.04000000E-02,
237,1041.2870,24.078,+1.05906129E+01,1.05907660E+01,+2.02690000E-02,
238,1045.6879,24.078,+1.05906120E+01,1.05907671E+01,+2.02690000E-02,
239,1050.0903,24.078,+1.05906119E+01,1.05907666E+01,+2.02690000E-02,
240,1054.4893,24.078,+1.05906121E+01,1.05907684E+01,+2.02690000E-02,
241,1058.8903,24.078,+1.05906127E+01,1.05907698E+01,+2.02690000E-02,
242,1063.2929,24.078,+1.05906119E+01,1.05907671E+01,+2.02690000E-02,
243,1067.6966,24.078,+1.05906119E+01,1.05907679E+01,+2.02690000E-02,
244,1072.1121,24.078,+1.05906114E+01,1.05907662E+01,+2.04000000E-02,
245,1076.4965,24.078,+1.05906110E+01,1.05907666E+01,+2.04000000E-02,
246,1080.9012,24.078,+1.05906104E+01,1.05907661E+01,+2.02690000E-02,
247,1085.3019,24.078,+1.05906113E+01,1.05907689E+01,+2.02690000E-02,
248,1089.7012,24.078,+1.05906123E+01,1.05907672E+01,+2.04000000E-02,
249,1094.1036,24.062,+1.05906123E+01,1.05907652E+01,+2.02690000E-02,
250,1098.5061,24.062,+1.05906114E+01,1.05907674E+01,+2.04000000E-02,
251,1102.9083,24.062,+1.05906109E+01,1.05907665E+01,+2.02690000E-02,
252,1107.3094,24.062,+1.05906111E+01,1.05907670E+01,+2.04000000E-02,
253,1111.7110,24.070,+1.05906107E+01,1.05907662E+01,+2.04000000E-02,
254,1116.1130,24.070,+1.05906106E+01,1.05907671E+01,+2.04000000E-02,
255,1120.5150,24.070,+1.05906109E+01,1.05907669E+01,+2.04000000E-02,
256,1124.9186,24.070,+1.05906109E+01,1.05907678E+01,+2.02690000E-02,
257,1129.3182,24.070,+1.05906106E+01,1.05907679E+01,+2.04000000E-02,
258,1133.7194,24.070,+1.05906108E+01,1.05907645E+01,+2.04000000E-02,
259,1138.1211,24.070,+1.05906100E+01,1.05907673E+01,+2.04000000E-02,
260,1142.5232,24.070,+1.05906106E+01,1.05907701E+01,+2.04000000E-02,
261,1146.9260,24.078,+1.05906107E+01,1.05907685E+01,+2.04000000E-02,
262,1151.3289,24.078,+1.05906117E+01,1.05907679E+01,+2.04000000E-02,
263,1155.7389,24.078,+1.05906115E+01,1.05907683E+01,+2.04000000E-02,
264,1160.1346,24.078,+1.05906117E+01,1.05907684E+01,+2.04000000E-02,
265,1164.5377,24.070,+1.05906117E+01,1.05907661E+01,+2.04000000E-02,
266,1168.9408,24.070,+1.05906112E+01,1.05907681E+01,+2.04000000E-02,
267,1173.3441,24.070,+1.05906117E+01,1.05907698E+01,+2.04000000E-02,
268,1177.7480,24.070,+1.05906118E+01,1.05907701E+01,+2.04000000E-02,
269,1182.1533,24.070,+1.05906112E+01,1.05907679E+01,+2.04000000E-02,
270,1186.5648,24.070,+1.05906123E+01,1.05907667E+01,+2.04000000E-02,
271,1190.9578,24.070,+1.05906120E+01,1.05907670E+01,+2.04000000E-02,
272,1195.3608,24.070,+1.05906112E+01,1.05907676E+01,+2.04000000E-02,
273,1199.7639,24.070,+1.05906107E+01,1.05907675E+01,+2.04000000E-02,
274,1204.1669,24.070,+1.05906105E+01,1.05907665E+01,+2.04000000E-02,
275,1208.5701,24.070,+1.05906107E+01,1.05907656E+01,+2.04000000E-02,
